_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
bevordering.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.0717057712517477	-0.10836908114564534	LEMMAPATH2	NA	NA	LEMMAPATH	341	no	NA	NA	5000	all	234	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.2744860006426446	-0.08137621131506112	LEMMAPATH2	NA	NA	LEMMAPATH	341	no	NA	NA	5000	nav	234	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.8345598843843554	0.03004896973239287	LEMMAPATH2	NA	NA	LEMMAPATH	341	no	NA	NA	FOC	all	234	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.9641989830180838	0.07793610004121068	LEMMAPATH2	NA	NA	LEMMAPATH	341	no	NA	NA	FOC	nav	234	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.0538899803133135	0.12008423683992958	LEMMAPATH2	NA	NA	LEMMAPATH	227	selection	NA	NA	5000	all	230	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.2646603105019163	0.1851902864002857	LEMMAPATH2	NA	NA	LEMMAPATH	227	selection	NA	NA	5000	nav	230	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.8080327433302826	0.22178067395530465	LEMMAPATH2	NA	NA	LEMMAPATH	227	selection	NA	NA	FOC	all	230	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9375325034691834	0.3171157428119448	LEMMAPATH2	NA	NA	LEMMAPATH	227	selection	NA	NA	FOC	nav	230	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.6634962902373558	0.560147963038676	LEMMAPATH2	NA	NA	LEMMAPATH	227	weight	NA	NA	5000	all	230	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.8032861200225073	0.6149395178833325	LEMMAPATH2	NA	NA	LEMMAPATH	227	weight	NA	NA	5000	nav	230	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.542993328308881	0.6476616592780611	LEMMAPATH2	NA	NA	LEMMAPATH	227	weight	NA	NA	FOC	all	230	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6481880987211084	0.791647850260118	LEMMAPATH2	NA	NA	LEMMAPATH	227	weight	NA	NA	FOC	nav	230	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-0.7977578078652209	-0.7102925709497496	LEMMAPATH3	NA	NA	LEMMAPATH	573	no	NA	NA	5000	all	219	2	bevordering.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
