cw	pmi_4	raw_4	pmi_10	raw_10	freq
!/punct	-1.903098	1.0	-1.7079493	3	142029
"""/punct"	-0.2277745	184.0	-0.16553636	486	4844510
&/name			-1.1430424	2	52896
&/punct			1.439893	4	8058
'/punct	-0.95834774	50.0	-0.87282175	135	2720890
'76/noun			3.8707294	1	174
'82-'83:promotie/noun			9.018224	1	1
'90-'91:kampioen/noun			9.018224	1	1
'95-'96:promotie/noun	9.933093	1.0	9.018224	1	1
'96-'97:promotie/noun	9.933093	1.0	9.180743	1	1
'98-'99:promotie/noun			9.449007	1	1
'98/num	3.7718859	1.0	2.8658104	1	478
'99/num			2.4303985	1	757
's/adv			-2.01315	1	62265
't/name			-0.7586341	1	17963
(/punct	-0.061402902	124.0	-0.14739646	278	2759129
(ontslagnemend)Trainer/name			9.123585	1	1
(top)sportgeneeskunde/noun	9.933093	1.0	9.018224	1	1
)/punct	-0.34942037	91.0	-0.13809682	278	2758869
**/num			2.7949533	1	530
*/tag	0.082574695	6.0	-0.08266845	12	117193
*KBNH3C2*/noun			9.018224	1	1
*KBNHB2*/noun	9.933093	1.0	9.018224	1	1
+/prep	0.99789715	2.0	0.09624249	2	15336
,/punct	-0.23108262	696.0	-0.1706246	1835	18092245
--/punct			-1.4802259	2	75440
-/name	2.5344355	22.0	2.715281	65	36107
-/noun			1.193678	1	2534
-/num	1.4409102	4.0	1.78968	14	19634
-/punct	0.25853914	66.0	0.31911644	173	1059446
-1953/num			9.018224	1	1
-1961-1962/num	9.933093	1.0	9.018224	1	1
-1963/num	9.933093	1.0	9.018224	1	1
-1965-1966/num			9.018224	1	1
-1966-1967/num	10.626241	2.0	9.711371	2	1
-1969/num	9.933093	1.0	9.711371	2	1
-1973/num	9.933093	1.0	9.018224	1	1
-1977/num			7.9196115	1	3
-1981-1982/num	9.933093	1.0	9.018224	1	1
-1982/num	9.933093	1.0	9.018224	1	1
-1987/num			8.325077	1	2
-1999-2000/num			9.241367	1	1
-de/noun			2.7444038	1	534
-prinses/noun			4.989307	1	58
-vaders/noun			5.6203656	1	30
.../punct	-0.90599126	2.0	-1.1170498	4	103573
./punct	0.10470416	1493.0	0.04081138	3480	28225482
//punct	-0.08019841	2.0	0.13080253	6	45910
0,4/num	2.8368375	2.0	1.9339137	2	2426
0,9/num	2.6149683	1.0	1.7121624	1	1512
0--1/name			6.820999	1	9
0--4/name			8.350394	1	2
0-1/num			-0.2530587	2	21461
0-10/name			4.0588818	2	288
0-1_voorsprong/noun			4.8766775	1	63
0-2/num			-0.46803084	1	13333
0-3/name			0.9088636	1	3360
0-3/num			0.04263797	1	8010
0-6/num			1.7698977	1	1424
0-7/name			3.364157	1	289
0-RC/name	6.1546016	1.0	5.2793646	1	45
0/name			0.5929194	3	13863
0/noun			1.6375006	1	1668
0/num			-0.67242414	3	49075
011/70.18.18/num			5.748655	1	29
03/name	4.442607	1.0	4.2271967	2	243
