_model	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens
monitor.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	LEMMAPATH2			LEMMAPATH	400	no			5000	all	240
monitor.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	LEMMAPATH2			LEMMAPATH	400	no			5000	nav	240
monitor.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	LEMMAPATH2			LEMMAPATH	400	no			FOC	all	240
monitor.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	LEMMAPATH2			LEMMAPATH	400	no			FOC	nav	240
monitor.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	LEMMAPATH2			LEMMAPATH	295	selection			5000	all	239
monitor.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	LEMMAPATH2			LEMMAPATH	295	selection			5000	nav	239
monitor.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	LEMMAPATH2			LEMMAPATH	295	selection			FOC	all	239
monitor.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	LEMMAPATH2			LEMMAPATH	295	selection			FOC	nav	239
monitor.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	LEMMAPATH2			LEMMAPATH	295	weight			5000	all	239
monitor.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	LEMMAPATH2			LEMMAPATH	295	weight			5000	nav	239
monitor.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	LEMMAPATH2			LEMMAPATH	295	weight			FOC	all	239
monitor.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	LEMMAPATH2			LEMMAPATH	295	weight			FOC	nav	239
monitor.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	LEMMAPATH3			LEMMAPATH	621	no			5000	all	235
monitor.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	LEMMAPATH3			LEMMAPATH	621	no			5000	nav	235
monitor.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	LEMMAPATH3			LEMMAPATH	621	no			FOC	all	235
monitor.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	LEMMAPATH3			LEMMAPATH	621	no			FOC	nav	235
monitor.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	LEMMAPATH3			LEMMAPATH	419	selection			5000	all	235
monitor.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	LEMMAPATH3			LEMMAPATH	419	selection			5000	nav	235
monitor.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	LEMMAPATH3			LEMMAPATH	419	selection			FOC	all	235
monitor.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	LEMMAPATH3			LEMMAPATH	419	selection			FOC	nav	235
monitor.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	LEMMAPATH3			LEMMAPATH	419	weight			5000	all	235
monitor.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	LEMMAPATH3			LEMMAPATH	419	weight			5000	nav	235
monitor.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	LEMMAPATH3			LEMMAPATH	419	weight			FOC	all	235
monitor.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	LEMMAPATH3			LEMMAPATH	419	weight			FOC	nav	235
monitor.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	LEMMAPATHweight			LEMMAPATH	621	no			5000	all	235
monitor.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	LEMMAPATHweight			LEMMAPATH	621	no			5000	nav	235
monitor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	LEMMAPATHweight			LEMMAPATH	621	no			FOC	all	235
monitor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	LEMMAPATHweight			LEMMAPATH	621	no			FOC	nav	235
monitor.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	LEMMAPATHweight			LEMMAPATH	419	selection			5000	all	235
monitor.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	LEMMAPATHweight			LEMMAPATH	419	selection			5000	nav	235
monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	LEMMAPATHweight			LEMMAPATH	419	selection			FOC	all	235
monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	LEMMAPATHweight			LEMMAPATH	419	selection			FOC	nav	235
monitor.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	LEMMAPATHweight			LEMMAPATH	419	weight			5000	all	235
monitor.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	LEMMAPATHweight			LEMMAPATH	419	weight			5000	nav	235
monitor.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	LEMMAPATHweight			LEMMAPATH	419	weight			FOC	all	235
monitor.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	LEMMAPATHweight			LEMMAPATH	419	weight			FOC	nav	235
monitor.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall		LEMMAREL1		LEMMAREL	141	no			5000	all	224
monitor.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav		LEMMAREL1		LEMMAREL	141	no			5000	nav	224
monitor.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall		LEMMAREL1		LEMMAREL	141	no			FOC	all	224
monitor.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav		LEMMAREL1		LEMMAREL	141	no			FOC	nav	224
monitor.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall		LEMMAREL1		LEMMAREL	114	selection			5000	all	218
monitor.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav		LEMMAREL1		LEMMAREL	114	selection			5000	nav	218
monitor.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall		LEMMAREL1		LEMMAREL	114	selection			FOC	all	218
monitor.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav		LEMMAREL1		LEMMAREL	114	selection			FOC	nav	218
monitor.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall		LEMMAREL1		LEMMAREL	114	weight			5000	all	218
monitor.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav		LEMMAREL1		LEMMAREL	114	weight			5000	nav	218
monitor.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall		LEMMAREL1		LEMMAREL	114	weight			FOC	all	218
monitor.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav		LEMMAREL1		LEMMAREL	114	weight			FOC	nav	218
monitor.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall		LEMMAREL2		LEMMAREL	259	no			5000	all	240
monitor.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav		LEMMAREL2		LEMMAREL	259	no			5000	nav	240
monitor.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall		LEMMAREL2		LEMMAREL	259	no			FOC	all	240
monitor.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav		LEMMAREL2		LEMMAREL	259	no			FOC	nav	240
monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall		LEMMAREL2		LEMMAREL	210	selection			5000	all	234
monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav		LEMMAREL2		LEMMAREL	210	selection			5000	nav	234
monitor.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall		LEMMAREL2		LEMMAREL	210	selection			FOC	all	234
monitor.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav		LEMMAREL2		LEMMAREL	210	selection			FOC	nav	234
monitor.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall		LEMMAREL2		LEMMAREL	210	weight			5000	all	234
monitor.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav		LEMMAREL2		LEMMAREL	210	weight			5000	nav	234
monitor.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall		LEMMAREL2		LEMMAREL	210	weight			FOC	all	234
monitor.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav		LEMMAREL2		LEMMAREL	210	weight			FOC	nav	234
monitor.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall		LEMMAREL3		LEMMAREL	309	no			5000	all	240
monitor.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav		LEMMAREL3		LEMMAREL	309	no			5000	nav	240
monitor.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall		LEMMAREL3		LEMMAREL	309	no			FOC	all	240
monitor.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav		LEMMAREL3		LEMMAREL	309	no			FOC	nav	240
monitor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall		LEMMAREL3		LEMMAREL	243	selection			5000	all	236
monitor.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav		LEMMAREL3		LEMMAREL	243	selection			5000	nav	236
monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall		LEMMAREL3		LEMMAREL	243	selection			FOC	all	236
monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav		LEMMAREL3		LEMMAREL	243	selection			FOC	nav	236
monitor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall		LEMMAREL3		LEMMAREL	243	weight			5000	all	236
monitor.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav		LEMMAREL3		LEMMAREL	243	weight			5000	nav	236
monitor.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall		LEMMAREL3		LEMMAREL	243	weight			FOC	all	236
