_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
monitor.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.3965260005826872	-0.08530283413337883	LEMMAPATH2	NA	NA	LEMMAPATH	400	no	NA	NA	5000	all	240	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.414994313886465	-0.05246760036259079	LEMMAPATH2	NA	NA	LEMMAPATH	400	no	NA	NA	5000	nav	240	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-0.8025028367771406	0.15086370402989777	LEMMAPATH2	NA	NA	LEMMAPATH	400	no	NA	NA	FOC	all	240	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-0.8207351825206524	0.2386803694077296	LEMMAPATH2	NA	NA	LEMMAPATH	400	no	NA	NA	FOC	nav	240	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.3751424518385391	0.02038486401277767	LEMMAPATH2	NA	NA	LEMMAPATH	295	selection	NA	NA	5000	all	239	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.4303715296738626	0.02893729226087149	LEMMAPATH2	NA	NA	LEMMAPATH	295	selection	NA	NA	5000	nav	239	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.7934867403899283	0.2282181662628257	LEMMAPATH2	NA	NA	LEMMAPATH	295	selection	NA	NA	FOC	all	239	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8056130697656309	0.3063238712443836	LEMMAPATH2	NA	NA	LEMMAPATH	295	selection	NA	NA	FOC	nav	239	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.8390940789810934	0.6375223780914995	LEMMAPATH2	NA	NA	LEMMAPATH	295	weight	NA	NA	5000	all	239	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.9181899499934694	0.6727909136222262	LEMMAPATH2	NA	NA	LEMMAPATH	295	weight	NA	NA	5000	nav	239	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.4874593686804892	0.7093550829983214	LEMMAPATH2	NA	NA	LEMMAPATH	295	weight	NA	NA	FOC	all	239	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.49660419639198256	0.8172061068260655	LEMMAPATH2	NA	NA	LEMMAPATH	295	weight	NA	NA	FOC	nav	239	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-1.053398371265095	-0.7801515869115093	LEMMAPATH3	NA	NA	LEMMAPATH	621	no	NA	NA	5000	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.0690816211098224	-0.7077682983118668	LEMMAPATH3	NA	NA	LEMMAPATH	621	no	NA	NA	5000	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-0.5210031266307288	-0.386085631702732	LEMMAPATH3	NA	NA	LEMMAPATH	621	no	NA	NA	FOC	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-0.5226441002625354	-0.31863282846066915	LEMMAPATH3	NA	NA	LEMMAPATH	621	no	NA	NA	FOC	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-1.017058789926146	-0.5149308047244963	LEMMAPATH3	NA	NA	LEMMAPATH	419	selection	NA	NA	5000	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-1.0647984069170948	-0.4993573641589958	LEMMAPATH3	NA	NA	LEMMAPATH	419	selection	NA	NA	5000	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.4909482419780206	-0.2074163555199127	LEMMAPATH3	NA	NA	LEMMAPATH	419	selection	NA	NA	FOC	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4863778244228134	-0.16375755436264428	LEMMAPATH3	NA	NA	LEMMAPATH	419	selection	NA	NA	FOC	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.36381428335326743	0.24451343260502575	LEMMAPATH3	NA	NA	LEMMAPATH	419	weight	NA	NA	5000	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.4298277635168987	0.29481211805530144	LEMMAPATH3	NA	NA	LEMMAPATH	419	weight	NA	NA	5000	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.0746009501567864	0.27234487520110545	LEMMAPATH3	NA	NA	LEMMAPATH	419	weight	NA	NA	FOC	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08036417774398534	0.3355217104470884	LEMMAPATH3	NA	NA	LEMMAPATH	419	weight	NA	NA	FOC	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-1.053398371265095	-0.7801515869115093	LEMMAPATHweight	NA	NA	LEMMAPATH	621	no	NA	NA	5000	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-1.0690816211098224	-0.7077682983118668	LEMMAPATHweight	NA	NA	LEMMAPATH	621	no	NA	NA	5000	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-0.5210031266307288	-0.386085631702732	LEMMAPATHweight	NA	NA	LEMMAPATH	621	no	NA	NA	FOC	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-0.5226441002625354	-0.31863282846066915	LEMMAPATHweight	NA	NA	LEMMAPATH	621	no	NA	NA	FOC	nav	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
monitor.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-1.017058789926146	-0.5149308047244963	LEMMAPATHweight	NA	NA	LEMMAPATH	419	selection	NA	NA	5000	all	235	3	monitor.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
