cw	pmi_4	raw_4	pmi_10	raw_10	freq
!/name			0.15690136	2	19257
!/punct	-0.0004845487	5.0	-0.32068774	9	142029
"""/punct"	-0.47670585	107.0	-0.3041939	317	4844510
&/name	-0.6417257	1.0	-1.5475403	1	52896
'/punct	-0.8159951	43.0	-0.59909815	133	2720890
'86/noun	4.74251	1.0	3.8239453	1	241
'88/noun			3.273667	1	419
'97/num			3.9814272	1	207
'SyncMaster'_reeks/noun	10.226269	1.0	9.306873	1	1
's/adv	0.28852674	3.0	0.47272393	9	62265
't/name	0.436531	1.0	0.22316235	2	17963
(/punct	-0.8996295	40.0	-0.6421812	127	2759129
)/punct	-0.71695673	47.0	-0.706384	118	2758869
*/tag	0.78121537	9.0	0.7168065	20	117193
*Kandidaten/noun			7.920579	1	4
+/name			2.0349262	1	1471
+12-jarigen/adj	7.1352262	1.0	6.2458215	1	22
,/punct	0.019533336	667.0	-0.04497521	1559	18092245
--/punct	-1.0032737	1.0	-0.49842945	4	75440
-/noun	2.3901954	1.0	1.4823273	1	2534
-/punct	-0.14143248	33.0	-0.18881702	78	1059446
-PSV'er/noun	8.499048	1.0	7.5930753	1	6
-aan/noun			6.0487766	1	26
-bewaking/noun			8.208261	1	3
-namiddag/noun			7.920579	1	4
-verenigingen/noun			6.1288195	1	24
.../punct	-1.3059629	1.0	0.08789026	10	103573
./punct	0.025679663	1029.0	0.07122579	2688	28225482
//name			-0.085755415	1	13088
//noun			3.0714827	1	519
02.00/noun			4.8525257	1	89
02/363.23.10/num	9.170217	1.0	8.410785	1	3
03-485.79.69/num			8.518415	1	3
03/860.03.68/num			9.306873	1	1
03/886.22.66/num			7.1152196	1	10
050-36.33.33/num			9.8176985	1	1
052/300.300/num			8.970401	1	2
052/33.64.13/num			8.541406	1	3
056-42.01.55/num	8.938415	1.0	8.128219	1	4
057-20.38.39/num	8.434509	1.0	7.531921	1	6
070/222.808/num	10.226269	1.0	9.306873	1	1
09-223.45.54/num	9.533122	1.0	8.665019	1	2
09-253.11.12/num	8.043031	1.0	7.2591805	1	11
09-266.56.00/num	10.226269	1.0	9.306873	1	1
09-33.71.21/num	10.226269	1.0	9.306873	1	1
1.000/num	1.1473905	1.0	0.9318313	2	8825
1.100/num	3.0208192	1.0	2.8073118	2	1359
1.300/num	2.8610096	1.0	2.6441238	2	1598
1.500/num			0.4817248	1	6921
1/name			-0.90716237	2	56531
1/noun	-0.21834505	2.0	-0.7161418	3	69141
1/num	-0.75354284	2.0	-0.2736505	8	118827
10/name			0.15041894	1	9610
10/num			-0.4881145	5	91258
100.000/num			1.1294978	3	10904
100/num	0.65317655	3.0	0.03296077	4	43355
109/num	2.6987438	1.0	1.7881845	1	1869
11.45/noun			3.2885232	1	415
11/noun			-0.49469793	2	36830
11/num			-0.59625304	2	40771
1149-1265/num			9.306873	1	1
117/num			1.8312505	1	1783
12-/num			4.4717827	2	254
12-jarigen/adj	3.8887796	1.0	2.9741266	1	568
12.30/noun	2.6442943	1.0	2.4285724	2	1975
12/noun	0.3990685	1.0	-0.50552654	1	18653
12/num	-0.03244705	2.0	0.15622088	6	57411
120/num			-0.13438445	1	12795
1200/num			1.6017458	1	2274
121/num	2.884542	1.0	1.9721522	1	1551
1260/num			5.4471965	1	48
13/noun			-0.61330926	1	20739
13/num	-0.36589974	1.0	0.11179747	4	40176
131/num			2.1428492	1	1304
134/num			2.1187625	1	1342
1399/name			9.306873	1	1
14,1/num			4.005062	1	205
14,1_inch/noun	10.226269	1.0	9.306873	1	1
14-jarige/adj			1.9243444	1	1660
14/noun	0.11022855	1.0	0.8134421	5	24865
14/num	0.54953545	3.0	0.4877316	7	48120
140/num			1.2507477	2	6410
1400/num			2.3716972	1	1049
145/num	2.6978025	1.0	1.7860155	1	1868
"15""_monitor/noun"			9.306873	1	1
15-inch/noun			7.14355	1	9
15-jarigen/adj	4.7138486	1.0	3.803169	1	249
15/noun			-0.30449748	2	30549
15/num	1.2021263	8.0	0.92136544	15	66844
150/num	0.2193507	1.0	-0.68877643	1	22300
1500-2000/name			5.1837792	1	63
150MT/noun	9.127657	1.0	8.901408	2	3
156/num	3.0600994	1.0	2.1496441	1	1301
15_inch/noun	7.9362626	1.0	7.039915	1	10
16.000/num			1.9700664	1	1562
16.30/noun			1.424313	1	2691
16/noun			-0.5807314	1	20089
16/num	1.5753692	7.0	1.7645575	21	40303
16:9/num	7.0225067	1.0	6.1184564	1	25
17-inch/noun			6.908978	1	11
17-jarige/adj	1.9975914	1.0	1.0918803	1	3798
17.45/noun	4.0671735	1.0	3.154566	1	474
17/noun			1.193562	7	23878
17/num	1.6313113	7.0	0.9735574	9	38139
175/name			4.4809623	1	127
1799/num			6.2840123	1	21
17_inch/noun	8.434509	1.0	8.208261	2	6
17_inch_monitor/noun			9.306873	1	1
18-jarigen/adj			3.3638113	1	386
18.00/noun			2.1445532	1	1313
18/noun			0.47051743	4	28146
18/num	-0.4871902	1.0	-0.009898261	4	45254
188/name			5.1605687	1	64
19.25/noun	5.409016	1.0	4.503672	1	126
19/num			-1.0653281	1	32622
1900/num	3.6463234	1.0	2.7357101	1	725
1956/noun			1.3398356	1	2919
1974/noun			0.719669	1	5419
1980/num			2.5025358	1	916
1987/noun			0.40572456	1	7416
1995/noun			-0.18808582	2	26842
